"PAN"," VTSK"," Pattani"," Pattani Airport"," Thailand","20199","17576.1026548673","17513","678838","686186","694023","235606  ","237925  ","251081  ","233755  ","236039  ","248978  ","1851  ","1886  ","2103  ","212181  ","214062  ","225742  ","210542  ","212386  ","223868  ","1639  ","1676  ","1874  "
"UTP"," VTBU"," Pattaya  Rayong"," U-Tapao Intl Airport"," Thailand","30401","29113.7469026553","30315","661220","674393","688999","5643533  ","6150336  ","6650710  ","5169919  ","5678118  ","6151526  ","473614  ","472218  ","499184  ","3461717  ","3854783  ","4171188  ","3080952  ","3478384  ","3773969  ","380765  ","376399  ","397219  "
"PHS"," VTPP"," Phitsanulok"," Phitsanulok Airport"," Thailand","27490","21009.9115044246","19235","856376","858988","863404","2714770  ","2811609  ","2968364  ","2521346  ","2620089  ","2770759  ","193424  ","191520  ","197605  ","1659333  ","1721719  ","1813705  ","1512976  ","1577950  ","1665742  ","146357  ","143769  ","147963  "
"PRH"," VTCP"," Phrae"," Phrae Airport"," Thailand","19418","19662.0707964606","21796","456074","454083","452346","668522  ","698188  ","750144  ","619612  ","649078  ","688402  ","48910  ","49110  ","61742  ","320333  ","333401  ","359323  ","298255  ","311796  ","330006  ","22078  ","21605  ","29317  "
"HKT"," VTSP"," Phuket"," Phuket Intl Airport"," Thailand","31857","30867.515044248","31500","369522","378364","386605","11960044  ","11958603  ","13203284  ","3564123  ","3499187  ","3714328  ","8395921  ","8459416  ","9488956  ","11339885  ","11312037  ","12520769  ","3304904  ","3226421  ","3425414  ","8034981  ","8085616  ","9095355  "
"UNN"," VTSR"," Ranong"," Ranong Airport"," Thailand","32292","27424.5221238947","22035","174776","177089","187536","775471  ","808915  ","880989  ","729986  ","763058  ","830706  ","45485  ","45857  ","50283  ","654223  ","682360  ","742126  ","614940  ","642873  ","699341  ","39283  ","39487  ","42785  "
"SNO"," VTUI"," Sakon Nakhon"," Sakon Nakhon Airport"," Thailand","16854","17922.9628318585","19281","1134322","1138609","1142737","1039789  ","1081194  ","1136645  ","1035033  ","1076447  ","1131803  ","4756  ","4747  ","4842  ","592830  ","621884  ","652911  ","590058  ","619164  ","650159  ","2772  ","2720  ","2752  "
"SGZ"," VTSH"," Songkhla"," Songkhla Airport"," Thailand","26824","28551.653097346","27660","1389890","1401303","1410577","5763439  ","6124972  ","6524676  ","3551191  ","3831735  ","4038146  ","2212248  ","2293237  ","2486530  ","4802574  ","5097694  ","5427668  ","2753763  ","2975335  ","3127541  ","2048811  ","2122359  ","2300127  "
"SGZ"," VTSH"," Songkhla"," Songkhla Airport"," Thailand","26824","28551.653097346","27660","1389890","1401303","1410577","5763439  ","6124972  ","6524676  ","3551191  ","3831735  ","4038146  ","2212248  ","2293237  ","2486530  ","4802574  ","5097694  ","5427668  ","2753763  ","2975335  ","3127541  ","2048811  ","2122359  ","2300127  "
"THS"," VTPO"," Sukhothai"," Sukhothai Airport"," Thailand","24121","21385.6247787615","22252","602713","602460","601712","1116585  ","1177107  ","1246967  ","807413  ","856673  ","907556  ","309172  ","320434  ","339411  ","726553  ","757100  ","802418  ","562060  ","589382  ","625935  ","164493  ","167718  ","176483  "
"URT"," VTSB"," Surat Thani"," Surat Thani Airport"," Thailand","36865","37405.4265486728","36466","1031812","1040230","1046772","4465276  ","4832512  ","5251947  ","1757166  ","1891644  ","2081650  ","2708110  ","2940868  ","3170297  ","4190512  ","4519161  ","4913006  ","1526287  ","1649091  ","1818519  ","2664225  ","2870070  ","3094487  "
"TKT"," VTPT"," Tak"," Tak Airport"," Thailand","17020","16545.9185840711","20079","532353","539553","618382","1653513  ","1757187  ","1904751  ","1618293  ","1721389  ","1866591  ","35220  ","35798  ","38160  ","1308642  ","1393765  ","1505422  ","1289263  ","1374231  ","1484967  ","19379  ","19534  ","20455  "
"TST"," VTST"," Trang"," Trang Airport"," Thailand","33270","30491.7486725664","23309","636043","638746","640793","1281663  ","1308968  ","1414663  ","1115641  ","1137470  ","1233566  ","166022  ","171498  ","181097  ","1058853  ","1076055  ","1161831  ","921947  ","936355  ","1014196  ","136906  ","139700  ","147635  "
"UBP"," VTUU"," Ubon Ratchathani"," Ubon Ratchathani Airport"," Thailand","22344","21129.0106194692","20453","1836523","1844669","1857429","2591426  ","2586368  ","2666113  ","2471568  ","2467387  ","2543102  ","119858  ","118981  ","123011  ","1438916  ","1429648  ","1471607  ","1372493  ","1363866  ","1403524  ","66423  ","65782  ","68083  "
"UTH"," VTUD"," Udon Thani"," Udon Thani Airport"," Thailand","25966","23995.8796460181","22817","1563964","1570300","1575152","3033967  ","3073887  ","3245508  ","2897571  ","2936149  ","3104984  ","136396  ","137738  ","140524  ","2127343  ","2125739  ","2240664  ","2051490  ","2050234  ","2163506  ","75853  ","75505  ","77158  "
"UTP"," VTUD"," Udon Thani"," Udon Thani Intl Airport"," Thailand","25966","23995.8796460181","22817","1563964","1570300","1575152","3033967  ","3073887  ","3245508  ","2897571  ","2936149  ","3104984  ","136396  ","137738  ","140524  ","2127343  ","2125739  ","2240664  ","2051490  ","2050234  ","2163506  ","75853  ","75505  ","77158  "
"UTR"," VTPU"," Uttaradit"," Uttaradit Airport"," Thailand","21344","19929.2548672571","19239","460995","460400","459768","756933  ","784214  ","852441  ","750090  ","777332  ","844971  ","6843  ","6882  ","7470  ","531306  ","550640  ","584586  ","528355  ","547589  ","581357  ","2951  ","3051  ","3229  "
"TDX","’’"," Trat","Trat Airport","Thailand","21653","24984.5681415934","25333","224010","224730","229435","1685537  ","1742621  ","1864064  ","1281384  ","1325966  ","1416041  ","404153  ","416655  ","448023  ","1600817  ","1655249  ","1770554  ","1221857  ","1264619  ","1350606  ","378960  ","390630  ","419948  "
"DMK","’’"," Bangkok","Don Mueang International Airport","Thailand","49191","48842.9433628325","45572","5686252","5692284","5696409","50568902  ","50972772  ","56515597  ","31988047  ","32830273  ","35645681  ","18580855  ","18142499  ","20869916  ","37145237  ","37097326  ","41283511  ","19677487  ","20065603  ","21696700  ","17467750  ","17031723  ","19586811  "
