"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"DD","DMK","HDY","26415.0","79.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Mar2014","250","47250","189.0","21240","772.0","164.0","7.0"
"DD","DMK","HDY","28435.0","82.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Apr2014","270","51030","189.0","22800","772.0","164.0","7.0"
"DD","DMK","HDY","27947.0","82.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","May2014","279","52731","189.0","23560","772.0","164.0","7.0"
"DD","DMK","HDY","27564.0","86.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Jun2014","268","50652","189.0","22630","772.0","164.0","7.0"
"DD","HDY","DMK","22437.0","71.0","26824.0","49191.0","1389890.0","5686252.0","Jan2013","217.0","39773.0","183.28571428571428","18445.0","772.0","164.0","7.0"
"DD","HDY","DMK","21800.0","72.0","26824.0","49191.0","1389890.0","5686252.0","Feb2013","196.0","35924.0","183.28571428571428","16660.0","772.0","164.0","7.0"
"DD","HDY","DMK","22335.0","71.0","26824.0","49191.0","1389890.0","5686252.0","Mar2013","187","35343","189.0","15895","772.0","164.0","7.0"
"DD","HDY","DMK","23532.0","72.0","26824.0","49191.0","1389890.0","5686252.0","Apr2013","210","39690","189.0","17850","772.0","164.0","7.0"
"DD","HDY","DMK","22908.0","73.0","26824.0","49191.0","1389890.0","5686252.0","May2013","217","41013","189.0","18445","772.0","164.0","7.0"
"DD","HDY","DMK","23596.0","75.0","26824.0","49191.0","1389890.0","5686252.0","Jun2013","210","39690","189.0","17850","772.0","164.0","7.0"
