"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"FD","TST","DMK","10225.0","58.0","33270.0","49191.0","636043.0","5686252.0","Jan2013","93","15624","168.0","7905","718.0","48.0","5.0"
"TG","BKK","UTH","10210.0","112.0","49191.0","25966.0","5686252.0","1563964.0","Jan2013","93.0","16957.0","182.33333333333334","6045.0","451.0","142.0","7.0"
"FD","DMK","TST","10009.0","58.0","49191.0","33270.0","5686252.0","636043.0","Jan2013","93","15624","168.0","7905","718.0","48.0","5.0"
"DD","DMK","CEI","9631.0","65.0","49191.0","13510.0","5686252.0","1204660.0","Jan2013","93","17577","189.0","6975","666.0","164.0","7.0"
"PG","HKT","USM","9609.0","92.0","31857.0","36865.0","369522.0","1031812.0","Jan2013","155","10850","70.0","8525","249.0","72.0","8.0"
"PG","USM","HKT","9598.0","90.0","36865.0","31857.0","1031812.0","369522.0","Jan2013","155","10850","70.0","9455","249.0","72.0","8.0"
"DD","CEI","DMK","9452.0","65.0","13510.0","49191.0","1204660.0","5686252.0","Jan2013","93","17577","189.0","6975","666.0","164.0","7.0"
"DD","HKT","DMK","9449.0","67.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","93","17577","189.0","7440","689.0","164.0","7.0"
"DD","DMK","HKT","9157.0","67.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","93","17577","189.0","7440","689.0","164.0","7.0"
"FD","URT","DMK","9120.0","48.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","93","15624","168.0","6820","552.0","48.0","5.0"
"FD","DMK","URT","8640.0","48.0","49191.0","36865.0","5686252.0","1031812.0","Jan2013","93","15624","168.0","6665","552.0","48.0","5.0"
"FD","DMK","UTH","8575.0","43.0","49191.0","25966.0","5686252.0","1563964.0","Jan2013","93","15624","168.0","6200","451.0","48.0","5.0"
"FD","CNX","HKT","8552.0","159.0","14393.0","31857.0","1666888.0","369522.0","Jan2013","62","10416","168.0","7750","1181.0","48.0","5.0"
"FD","HKT","CNX","8450.0","86.0","31857.0","14393.0","369522.0","1666888.0","Jan2013","62","10416","168.0","7130","1181.0","48.0","5.0"
"FD","DMK","CEI","8435.0","55.0","49191.0","13510.0","5686252.0","1204660.0","Jan2013","93","15624","168.0","7440","666.0","48.0","5.0"
"FD","CEI","DMK","7977.0","55.0","13510.0","49191.0","1204660.0","5686252.0","Jan2013","93","15624","168.0","7440","666.0","48.0","5.0"
"TG","URT","BKK","7688.0","116.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","62","10788","174.0","4340","536.0","142.0","7.0"
"FD","UTH","DMK","7629.0","43.0","25966.0","49191.0","1563964.0","5686252.0","Jan2013","93","15624","168.0","6200","451.0","48.0","5.0"
"OX","DMK","HKT","6668.0","67.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","62","9300","150.0","4805","689.0","46.0","7.0"
"DD","DMK","TST","6535.0","68.0","49191.0","33270.0","5686252.0","636043.0","Jan2013","62.0","11558.0","186.41935483870967","4960.0","718.0","164.0","7.0"
"FD","DMK","NST","6276.0","52.0","49191.0","27479.0","5686252.0","1541843.0","Jan2013","62","10416","168.0","4805","610.0","48.0","5.0"
"OX","HKT","DMK","6171.0","67.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","62","9300","150.0","5270","689.0","46.0","7.0"
