Op Airlines,Original,Destination,Passenger,Fare,Income Original,Income Destination,Population Original,Population Destination,Date,Flight Frequency,Total Seat,Seat/Dep,Time,AVG KM
TG,BKK,URT,5673,100,49191,36865,5686252,1031812,Jan2013,62,10788,174,4650,536
FD,DMK,UBP,5510,45,49191,22344,5686252,1836523,Jan2013,62,10416,168,4185,483
FD,NST,DMK,5488,52,27479,49191,1541843,5686252,Jan2013,62,10416,168,4805,610
DD,DMK,PHS,4746,46,49191,27490,5686252,856376,Jan2013,120,8252,68.7666666667,8320,320
DD,PHS,DMK,4689,46,27490,49191,856376,5686252,Jan2013,120,8252,68.7666666667,8320,320
PG,TDX,BKK,4355,90,21653,49191,224010,5686252,Jan2013,93,6510,70,5580,233
FD,CNX,HDY,4276,101,14393,26824,1666888,1389890,Jan2013,31,5208,168,3875,1320
FD,DMK,NAW,4120,65,49191,16773,5686252,766145,Jan2013,31,5208,168,2790,838
TG,USM,BKK,4119,111,36865,49191,1031812,5686252,Jan2013,62,9300,150,4030,465
FD,UTH,HKT,4093,83,25966,31857,1563964,369522,Jan2013,31,5208,168,3410,1135
FD,HDY,CNX,3904,94,26824,14393,1389890,1666888,Jan2013,31,5208,168,3720,1320
FD,HKT,UTH,3794,70,31857,25966,369522,1563964,Jan2013,31,5208,168,3255,1135
PG,CNX,USM,3730,138,14393,36865,1666888,1031812,Jan2013,31,4464,144,3255,1027
TG,BKK,USM,3538,113,49191,36865,5686252,1031812,Jan2013,62,9300,150,4030,465
TG,UBP,BKK,3496,108,22344,49191,1836523,5686252,Jan2013,31,4650,150,2015,476
PG,BKK,TDX,3471,92,49191,21653,5686252,224010,Jan2013,93,6510,70,5580,233
DD,SNO,DMK,3357,58,16854,49191,1134322,5686252,Jan2013,89,5874,66,8010,521
DD,DMK,SNO,3265,58,49191,16854,5686252,1134322,Jan2013,89,5874,66,8010,521
PG,LPT,BKK,2968,109,19262,49191,754862,5686252,Jan2013,62,4340,70,5580,497
