Travel Month,Travel Year,Op Airline Code,Airline Code,Origin Code,Origin Name,Destination Name,Destination Code,Thru Point Name,Thru Point Code,Equipment Code,Equipment Name,Flights,Seats,Seats/ Dep,Block Mins,Average KMs
Jan 2013,2013,DD,DD,HKT,"Phuket, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),93,17577,189,7440,689
Jan 2013,2013,DD,DD,KOP,"Nakhon Phanom, TH","Bangkok, TH",DMK,,,AT7,AT7 (ATR-72),61,4026,66,6100,579
Jan 2013,2013,DD,DD,KOP,"Nakhon Phanom, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),1,34,34,100,579
Jan 2013,2013,DD,DD,LOE,"Loei, TH","Bangkok, TH",DMK,,,AT7,AT7 (ATR-72),31,2046,66,2325,410
Jan 2013,2013,DD,DD,MAQ,"Mae Sot, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),62,2108,34,4650,380
Jan 2013,2013,DD,DD,MAQ,"Mae Sot, TH","Chiang Mai, TH",CNX,,,SF3,SF3 (Saab 340),31,1054,34,1550,196
Jan 2013,2013,DD,DD,NNT,"Nan, TH","Bangkok, TH",DMK,,,AT7,AT7 (ATR-72),32,2112,66,3040,541
Jan 2013,2013,DD,DD,NNT,"Nan, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),61,2074,34,5795,541
Jan 2013,2013,DD,DD,NST,"Nakhon Si Thammarat, TH","Bangkok, TH",DMK,,,734,734 (B737-400),40,5960,149,2800,610
Jan 2013,2013,DD,DD,NST,"Nakhon Si Thammarat, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),115,21735,189,8050,610
Jan 2013,2013,DD,DD,PHS,"Phitsanulok, TH","Bangkok, TH",DMK,,,734,734 (B737-400),4,596,149,200,320
Jan 2013,2013,DD,DD,PHS,"Phitsanulok, TH","Bangkok, TH",DMK,,,AT7,AT7 (ATR-72),116,7656,66,8120,320
Jan 2013,2013,DD,DD,PRH,"Phrae, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),18,612,34,1530,470
Jan 2013,2013,DD,DD,ROI,"Roi Et, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),62,2108,34,4650,418
Jan 2013,2013,DD,DD,SNO,"Sakon Nakhon, TH","Bangkok, TH",DMK,,,AT7,AT7 (ATR-72),89,5874,66,8010,521
