"TravelMonth","Op Airline Code","Origin Code","Destination Code","Flights","Seats","Seats/ Dep","Block Mins","Average KMs"
"Jan2013","OX","DMK","HDY","62","9300","150.0","5115","772.0"
"Jan2013","OX","DMK","HKT","62","9300","150.0","4805","689.0"
"Jan2013","OX","HDY","DMK","62","9300","150.0","5270","772.0"
"Jan2013","OX","HKT","DMK","62","9300","150.0","5270","689.0"
"Jan2013","PG","BKK","CNX","186.0","28512.0","153.29032258064515","13950.0","565.0"
"Jan2013","PG","BKK","USM","675.0","77664.0","115.05777777777777","50320.0","465.0"
"Jan2013","PG","BKK","LPT","62","4340","70.0","5580","497.0"
"Jan2013","PG","BKK","HKT","217","35154","162.0","18445","673.0"
"Jan2013","PG","BKK","THS","62","4340","70.0","4650","377.0"
"Jan2013","PG","BKK","TDX","93","6510","70.0","5580","233.0"
"Jan2013","PG","CNX","BKK","155.0","24084.0","155.38064516129032","12400.0","565.0"
"Jan2013","PG","CNX","USM","31","4464","144.0","3255","1027.0"
"Jan2013","PG","HKT","BKK","217","35154","162.0","18445","673.0"
"Jan2013","PG","HKT","USM","155","10850","70.0","8525","249.0"
"Jan2013","PG","HKT","UTP","31","2170","70.0","3100","586.0"
"Jan2013","PG","KBV","USM","31","2170","70.0","1550","200.0"
"Jan2013","PG","LPT","BKK","62","4340","70.0","5580","497.0"
"Jan2013","PG","TDX","BKK","93","6510","70.0","5580","233.0"
"Jan2013","PG","THS","BKK","62","4340","70.0","4650","377.0"
"Jan2013","PG","USM","BKK","706.0","82128.0","116.328611898017","52480.0","465.0"
"Jan2013","PG","USM","KBV","31","2170","70.0","1705","200.0"
"Jan2013","PG","USM","HKT","155","10850","70.0","9455","249.0"
"Jan2013","PG","USM","UTP","31","2170","70.0","2325","360.0"
"Jan2013","PG","UTP","USM","31","2170","70.0","2170","360.0"
"Jan2013","PG","UTP","HKT","31","2170","70.0","3100","586.0"
"Jan2013","TG","BKK","CNX","310.0","89039.0","287.2225806451613","22630.0","565.0"
"Jan2013","TG","BKK","CEI","93","22971","247.0","7440","666.0"
"Jan2013","TG","BKK","HDY","124.0","29013.0","233.9758064516129","10850.0","750.0"
"Jan2013","TG","BKK","KKC","124","30628","247.0","6975","367.0"
"Jan2013","TG","BKK","USM","62","9300","150.0","4030","465.0"
"Jan2013","TG","BKK","KBV","171","29754","174.0","13680","649.0"
"Jan2013","TG","BKK","HKT","279.0","83824.0","300.44444444444446","22599.0","673.0"
"Jan2013","TG","BKK","URT","62","10788","174.0","4650","536.0"
"Jan2013","TG","BKK","UBP","31","4650","150.0","2015","476.0"
"Jan2013","TG","BKK","UTH","93.0","16957.0","182.33333333333334","6045.0","451.0"
"Jan2013","TG","CEI","BKK","93","22971","247.0","7440","666.0"
"Jan2013","TG","CNX","BKK","310.0","89039.0","287.2225806451613","22630.0","565.0"
"Jan2013","TG","CNX","HKT","31","5394","174.0","3565","1181.0"
"Jan2013","TG","HDY","BKK","124.0","29013.0","233.9758064516129","10695.0","750.0"
"Jan2013","TG","HKT","BKK","295.0","90048.0","305.24745762711865","25385.0","673.0"
"Jan2013","TG","HKT","CNX","31","5394","174.0","3565","1181.0"
"Jan2013","TG","KBV","BKK","171","29754","174.0","13680","649.0"
"Jan2013","TG","KKC","BKK","124","30628","247.0","6975","367.0"
"Jan2013","TG","UBP","BKK","31","4650","150.0","2015","476.0"
"Jan2013","TG","URT","BKK","62","10788","174.0","4340","536.0"
"Jan2013","TG","USM","BKK","62","9300","150.0","4030","465.0"
"Jan2013","TG","UTH","BKK","93.0","16957.0","182.33333333333334","5580.0","451.0"
"Feb2013","DD","BFV","DMK","12","408","34.0","780","296.0"
"Feb2013","DD","CEI","DMK","84.0","15756.0","187.57142857142858","6300.0","666.0"
"Feb2013","DD","CJM","DMK","28","952","34.0","1960","380.0"
"Feb2013","DD","CNX","DMK","224.0","41084.0","183.41071428571428","14560.0","565.0"
"Feb2013","DD","CNX","HDY","28","5292","189.0","3500","1320.0"
"Feb2013","DD","CNX","HGN","112","3808","34.0","3920","119.0"
"Feb2013","DD","CNX","MAQ","28","952","34.0","1400","196.0"
"Feb2013","DD","CNX","UTH","84","2856","34.0","6720","433.0"
"Feb2013","DD","DMK","BFV","12","408","34.0","780","296.0"
"Feb2013","DD","DMK","CNX","224.0","41084.0","183.41071428571428","15680.0","565.0"
"Feb2013","DD","DMK","CEI","84.0","15756.0","187.57142857142858","6300.0","666.0"
"Feb2013","DD","DMK","CJM","28","952","34.0","1960","380.0"
"Feb2013","DD","DMK","HDY","196.0","35924.0","183.28571428571428","16660.0","772.0"
"Feb2013","DD","DMK","LOE","28","1848","66.0","2100","410.0"
"Feb2013","DD","DMK","MAQ","56","1904","34.0","4200","380.0"
"Feb2013","DD","DMK","KOP","56.0","3664.0","65.42857142857143","5600.0","579.0"
"Feb2013","DD","DMK","NST","140.0","23836.0","170.25714285714287","9800.0","610.0"
"Feb2013","DD","DMK","NNT","84.0","3784.0","45.04761904761905","7980.0","541.0"
"Feb2013","DD","DMK","PHS","84.0","7945.0","94.58333333333333","5320.0","320.0"
"Feb2013","DD","DMK","PRH","16","544","34.0","1360","470.0"
"Feb2013","DD","DMK","HKT","84","15876","189.0","6720","689.0"
"Feb2013","DD","DMK","ROI","56","1904","34.0","4200","418.0"
"Feb2013","DD","DMK","SNO","56","3696","66.0","5040","521.0"
"Feb2013","DD","DMK","URT","112.0","21048.0","187.92857142857142","7840.0","552.0"
"Feb2013","DD","DMK","TST","56.0","10464.0","186.85714285714286","4480.0","718.0"
"Feb2013","DD","DMK","UBP","112.0","20048.0","179.0","7280.0","483.0"
"Feb2013","DD","DMK","UTH","140","26460","189.0","9100","451.0"
"Feb2013","DD","HDY","DMK","196.0","35924.0","183.28571428571428","16660.0","772.0"
"Feb2013","DD","HDY","CNX","28","5292","189.0","3640","1320.0"
"Feb2013","DD","HGN","CNX","112","3808","34.0","3920","119.0"
"Feb2013","DD","HKT","DMK","84","15876","189.0","6720","689.0"
"Feb2013","DD","KOP","DMK","56.0","3664.0","65.42857142857143","5600.0","579.0"
"Feb2013","DD","LOE","DMK","28","1848","66.0","2100","410.0"
"Feb2013","DD","MAQ","DMK","56","1904","34.0","4200","380.0"
"Feb2013","DD","MAQ","CNX","28","952","34.0","1400","196.0"
"Feb2013","DD","NNT","DMK","84.0","3784.0","45.04761904761905","7980.0","541.0"
"Feb2013","DD","NST","DMK","140.0","23836.0","170.25714285714287","9800.0","610.0"
"Feb2013","DD","PHS","DMK","84.0","7945.0","94.58333333333333","5320.0","320.0"
"Feb2013","DD","PRH","DMK","16","544","34.0","1360","470.0"
"Feb2013","DD","ROI","DMK","56","1904","34.0","4200","418.0"
"Feb2013","DD","SNO","DMK","56","3696","66.0","5040","521.0"
"Feb2013","DD","TST","DMK","56.0","10464.0","186.85714285714286","4480.0","718.0"
"Feb2013","DD","UBP","DMK","112.0","20048.0","179.0","6720.0","483.0"
"Feb2013","DD","URT","DMK","112.0","21048.0","187.92857142857142","7840.0","552.0"
"Feb2013","DD","UTH","DMK","140","26460","189.0","8400","451.0"
"Feb2013","DD","UTH","CNX","84","2856","34.0","6720","433.0"
"Feb2013","E8","CNX","HKT","8","1192","149.0","720","1181.0"
"Feb2013","E8","HKT","CNX","8","1192","149.0","720","1181.0"
"Feb2013","FD","CEI","DMK","84","14112","168.0","6720","666.0"
"Feb2013","FD","CNX","DMK","240","40320","168.0","18140","565.0"
"Feb2013","FD","CNX","HDY","42","7056","168.0","5250","1320.0"
"Feb2013","FD","CNX","HKT","56","9408","168.0","7000","1181.0"
"Feb2013","FD","CNX","UBP","12","2016","168.0","900","740.0"
"Feb2013","FD","DMK","CNX","240","40320","168.0","17640","565.0"
"Feb2013","FD","DMK","CEI","84","14112","168.0","6720","666.0"
"Feb2013","FD","DMK","HDY","210","35280","168.0","17850","772.0"
"Feb2013","FD","DMK","KBV","154","25872","168.0","12320","666.0"
"Feb2013","FD","DMK","KOP","28","4704","168.0","2100","579.0"
"Feb2013","FD","DMK","NST","70","11760","168.0","5390","610.0"
"Feb2013","FD","DMK","NAW","28","4704","168.0","2520","838.0"
"Feb2013","FD","DMK","HKT","252","42336","168.0","20580","689.0"
"Feb2013","FD","DMK","URT","84","14112","168.0","6020","552.0"
"Feb2013","FD","DMK","TST","84","14112","168.0","7140","718.0"
"Feb2013","FD","DMK","UBP","56","9408","168.0","3780","483.0"
"Feb2013","FD","DMK","UTH","84","14112","168.0","5600","451.0"
"Feb2013","FD","HDY","DMK","210","35280","168.0","17570","772.0"
"Feb2013","FD","HDY","CNX","42","7056","168.0","5040","1320.0"
"Feb2013","FD","HKT","DMK","252","42336","168.0","20440","689.0"
"Feb2013","FD","HKT","CNX","56","9408","168.0","6440","1181.0"
"Feb2013","FD","HKT","UTH","28","4704","168.0","2940","1135.0"
"Feb2013","FD","KBV","DMK","154","25872","168.0","11690","666.0"
"Feb2013","FD","KOP","DMK","28","4704","168.0","2100","579.0"
"Feb2013","FD","NAW","DMK","28","4704","168.0","2520","838.0"
"Feb2013","FD","NST","DMK","70","11760","168.0","5320","610.0"
"Feb2013","FD","TST","DMK","84","14112","168.0","7140","718.0"
"Feb2013","FD","UBP","DMK","56","9408","168.0","3640","483.0"
"Feb2013","FD","UBP","CNX","12","2016","168.0","840","740.0"
"Feb2013","FD","URT","DMK","84","14112","168.0","6160","552.0"
"Feb2013","FD","UTH","DMK","84","14112","168.0","5600","451.0"
"Feb2013","FD","UTH","HKT","28","4704","168.0","3080","1135.0"
"Feb2013","K8","CNX","KKC","6","60","10.0","690","480.0"
"Feb2013","K8","CNX","HGN","54","540","10.0","1890","119.0"
"Feb2013","K8","CNX","NNT","3","30","10.0","135","192.0"
"Feb2013","K8","CNX","PYY","6","60","10.0","150","87.0"
"Feb2013","K8","CNX","PHS","10","100","10.0","600","259.0"
"Feb2013","K8","HGN","CNX","54","540","10.0","1710","119.0"
"Feb2013","K8","KKC","CNX","6","60","10.0","690","480.0"
"Feb2013","K8","NNT","CNX","3","30","10.0","135","192.0"
"Feb2013","K8","PHS","CNX","10","100","10.0","600","259.0"
"Feb2013","K8","PYY","CNX","6","60","10.0","150","87.0"
"Feb2013","OX","CEI","DMK","10","1500","150.0","800","666.0"
"Feb2013","OX","CNX","DMK","56","8400","150.0","4200","565.0"
"Feb2013","OX","DMK","CNX","56","8400","150.0","3640","565.0"
"Feb2013","OX","DMK","CEI","10","1500","150.0","800","666.0"
"Feb2013","OX","DMK","HDY","20","3000","150.0","1650","772.0"
"Feb2013","OX","DMK","HKT","56","8400","150.0","4340","689.0"
"Feb2013","OX","HDY","DMK","20","3000","150.0","1700","772.0"
"Feb2013","OX","HKT","DMK","56","8400","150.0","4580","689.0"
"Feb2013","PG","BKK","CNX","168.0","25794.0","153.53571428571428","12600.0","565.0"
"Feb2013","PG","BKK","USM","645.0","73492.0","113.94108527131783","48335.0","465.0"
"Feb2013","PG","BKK","LPT","56","3920","70.0","5040","497.0"
"Feb2013","PG","BKK","HKT","196","31752","162.0","16660","673.0"
"Feb2013","PG","BKK","THS","56","3920","70.0","4200","377.0"
"Feb2013","PG","BKK","TDX","84","5880","70.0","5040","233.0"
"Feb2013","PG","CNX","BKK","140.0","21744.0","155.31428571428572","11200.0","565.0"
"Feb2013","PG","CNX","USM","28","4032","144.0","2940","1027.0"
"Feb2013","PG","HKT","BKK","196","31752","162.0","16660","673.0"
"Feb2013","PG","HKT","USM","140","9800","70.0","7700","249.0"
"Feb2013","PG","HKT","UTP","28","1960","70.0","2800","586.0"
"Feb2013","PG","KBV","USM","28","1960","70.0","1400","200.0"
"Feb2013","PG","LPT","BKK","56","3920","70.0","5040","497.0"
