"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'CNX']","['2,195', '34,332', '2.7', '42.2', '1.9', '55.9', '92', '3,156,226', '0.15']","Apr2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'CNX']","['1,748', '38,483', '3.1', '40.0', '1.9', '58.1', '91', '3,495,566', '0.15']","May2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'CNX']","['1,858', '34,887', '2.9', '37.0', '1.3', '61.7', '83', '2,888,693', '0.14']","Jun2013"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'USM']","['12,705', '45,585', '3.3', '91.2', '0.6', '8.2', '107', '4,861,064', '0.23']","Jan2013"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'USM']","['14,783', '48,281', '3.7', '90.3', '0.7', '9.1', '111', '5,378,175', '0.24']","Feb2013"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'USM']","['13,537', '44,919', '3.2', '87.6', '0.6', '11.8', '108', '4,831,038', '0.23']","Mar2013"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'USM']","['12,598', '38,058', '2.9', '84.6', '0.5', '15.0', '103', '3,931,759', '0.22']","Apr2013"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'USM']","['10,009', '31,840', '2.5', '82.8', '0.5', '16.7', '101', '3,215,314', '0.22']","May2013"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'USM']","['10,171', '34,287', '2.8', '86.1', '0.6', '13.2', '102', '3,490,777', '0.22']","Jun2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'HKT']","['6,875', '39,334', '2.8', '33.6', '0.8', '65.5', '105', '4,134,579', '0.16']","Jan2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'HKT']","['7,983', '40,887', '3.2', '29.8', '0.6', '69.7', '106', '4,337,151', '0.16']","Feb2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'HKT']","['7,119', '42,289', '3.0', '24.7', '0.6', '74.7', '92', '3,895,464', '0.14']","Mar2013"
"['TG', 'TG', '', '', '', '', '', 'TG', 'TG', '', '', '', '', '', 'Thailand', 'BKK', '', '', '', '', '', 'Thailand', 'HKT']","['6,814', '36,604', '2.8', '24.4', '0.5', '75.1', '93', '3,410,848', '0.14']","Apr2013"
