"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['12,546', '38,476', '2.2', '45.1', '44.2', '10.8', '96', '3,697,064', '0.21']","Oct2014"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['6,906', '26,675', '1.6', '47.9', '42.0', '10.1', '92', '2,441,862', '0.20']","Nov2014"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['10,043', '36,200', '1.9', '44.1', '47.6', '8.3', '92', '3,339,949', '0.20']","Dec2014"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['14,824', '53,823', '2.7', '39.4', '51.0', '9.7', '94', '5,056,747', '0.20']","Jan2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['18,650', '50,310', '2.6', '37.1', '53.6', '9.3', '92', '4,619,889', '0.20']","Feb2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['13,567', '46,370', '2.2', '43.8', '47.3', '8.9', '90', '4,166,278', '0.19']","Mar2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['13,349', '46,623', '2.3', '43.8', '46.0', '10.1', '86', '4,019,351', '0.19']","Apr2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['10,496', '36,526', '1.8', '46.5', '43.5', '10.0', '83', '3,013,464', '0.18']","May2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['9,861', '31,890', '1.7', '46.2', '44.7', '9.1', '78', '2,479,439', '0.17']","Jun2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['17,291', '49,203', '2.2', '38.9', '48.8', '12.2', '77', '3,801,518', '0.17']","Jul2015"
"['PG', 'PG', '', '', '', '', '', 'PG', 'PG', '', '', '', '', '', 'Thailand', 'USM', '', '', '', '', '', 'Thailand', 'BKK']","['23,904', '69,081', '3.0', '33.8', '54.7', '11.5', '77', '5,301,543', '0.17']","Aug2015"
